customer_id,age,gender,country,city,customer_segment,membership_level,signup_date,total_previous_rentals
C000001,34,Female,Francia,Marseille,Occasional,Standard,2022-08-15,5
C000002,43,Male,Alemania,Garmisch,Frequent,Gold,2018-04-30,36
C000003,49,Male,Alemania,Berlin,Occasional,Standard,2026-02-03,2
C000004,41,Male,Países Bajos,Amsterdam,Regular,Premium,2021-04-03,10
C000005,42,Male,países bajos,Utrecht,Regular,Premium,2019-03-29,13
C000006,33,Other,Portugal,Braga,Occasional,Standard,2025-04-27,3
C000007,59,Female,Países Bajos,Den Haag,Regular,Premium,2018-06-22,10
C000008,31,Male,Alemania,Berlin,Frequent,Premium,2023-07-27,27
C000009,18,Female,Alemania,Frankfurt,Regular,Standard,2023-02-24,7
C000010,30,Male,Bélgica,Liège,Occasional,Basic,2024-12-11,3
C000011,68,Male,Alemania,München,Frequent,Standard,2019-10-02,42
C000012,22,Female,Bélgica,Liège,Regular,Premium,2025-12-04,7
C000013,44,Male,Países Bajos,Eindhoven,Regular,Gold,2024-06-09,7
C000014,27,Female,España,Málaga,Frequent,Standard,2026-05-11,7
C000015,44,Male,Portugal,Porto,Regular,Basic,2022-11-14,9
C000016,52,Female,Francia,Toulouse,Occasional,Standard,2025-08-05,2
C000017,32,Female,Alemania,Hamburg,Occasional,Standard,2021-11-18,2
C000018,54,Female,Italia,Cortina,Occasional,Standard,2018-09-11,1
C000019,52,Female,Italia,Firenze,Regular,Premium,2022-02-28,13
C000020,42,Male,Países Bajos,Rotterdam,Regular,Standard,2020-12-11,18
C000021,37,Male,España,Barcelona,Regular,Standard,2018-07-13,14
C000022,35,Male,Bélgica,Gent,Occasional,Basic,2023-05-17,2
C000023,27,Female,España,Zaragoza,Regular,Standard,2024-04-11,6
C000024,23,Male,Italia,Venezia,Frequent,Gold,2022-05-12,35
C000025,45,Female,Francia,Bordeaux,Occasional,Standard,2022-12-03,3
C000026,42,Male,Italia,Venezia,Regular,Standard,2020-11-26,13
C000027,43,Male,Países Bajos,Groningen,Regular,Standard,2024-06-14,4
C000028,51,Male,Países Bajos,Eindhoven,Regular,Standard,2022-10-10,8
C000029,37,Female,Francia,Lyon,Occasional,Standard,2026-05-13,1
C000030,55,Female,Italia,Milano,Regular,Standard,2020-08-18,11
C000031,18,Female,Italia,Roma,VIP,Premium,2020-04-12,120
