product_id,category,sport,product_name,purchase_price,replacement_cost,maintenance_interval,product_age,inventory_units
P00001,Bicicletas,Ciclismo,Btwin City 96,812.45,1081.65,90,2.1,31
P00002,Bicicletas,Ciclismo,Elops Road 96,597.62,720.85,45,6.6,6
P00003,Bicicletas,Ciclismo,Rockrider City 53,1359.82,1485.03,45,5.4,10
P00004,Bicicletas,Ciclismo,Van Rysel E-Bike 28,529.67,660.94,180,0.9,47
P00005,Biciletas,Ciclismo,Btwin MTB 71,1386.62,1551.72,30,3.0,35
P00006,Bicicletas,Ciclismo,Elops Trail 01,1270.22,1641.73,45,2.3,57
P00007,Bicicletas,Ciclismo,Elops Gravel 22,845.33,952.51,45,0.4,14
P00008,Bicicletas,Ciclismo,Btwin Gravel 69,737.38,993.78,30,7.1,46
P00009,Bicicletas,Ciclismo,Rockrider Trail 16,1356.15,1635.05,30,5.3,47
P00010,Bicicletas,Ciclismo,Van Rysel E-Bike 69,654.44,705.71,60,7.5,19
P00011,Bicicletas,Ciclismo,Btwin E-Bike 78,475.31,516.58,180,1.4,13
P00012,Bicicletas,Ciclismo,Btwin Trail 48,959.17,1258.78,45,6.2,22
P00013,Bicicletas,Ciclismo,Rockrider MTB 01,1461.97,1754.69,180,1.8,5
P00014,Bicicletas,Ciclismo,Elops MTB 84,327.96,411.03,45,5.6,32
P00015,Bicicletas,Ciclismo,Elops E-Bike 51,934.51,1037.24,30,5.9,44
P00016,Bicicletas,Ciclismo,Van Rysel Gravel 46,326.93,355.41,30,2.4,26
P00017,Bicicletas,Ciclismo,Rockrider Gravel 27,809.59,1011.06,90,7.4,20
P00018,Bicicletas,Ciclismo,Btwin City 04,183.56,223.31,180,1.1,10
P00019,Bicicletas,Ciclismo,Btwin City 82,715.8,959.08,45,6.4,56
P00020,Bicicletas,Ciclismo,Elops MTB 81,780.97,1003.88,90,6.6,11
P00021,Bicicletas,Ciclismo,Rockrider City 48,1225.7,1372.53,120,6.9,38
P00022,Bicicletas,Ciclismo,Btwin Road 93,964.19,1131.74,180,5.2,28
P00023,Bicicletas,Ciclismo,Van Rysel Trail 25,1321.11,1567.06,45,6.0,18
P00024,Bicicletas,Ciclismo,Elops MTB 28,1252.37,1354.54,60,1.2,37
P00025,Bicicletas,Ciclismo,Elops MTB 80,1263.3,1444.08,180,1.3,55
P00026,Bicicletas,Ciclismo,Rockrider MTB 95,534.37,585.71,90,0.4,6
P00027,Bicicletas,Ciclismo,Rockrider City 70,385.77,411.24,90,3.1,42
P00028,Bicicletas,Ciclismo,Van Rysel Gravel 15,579.29,695.93,120,0.3,51
P00029,Bicicletas,Ciclismo,Btwin Trail 43,395.02,442.83,90,3.3,36
P00030,Bicicletas,Ciclismo,Elops City 03,216.49,251.58,180,6.7,10
P00031,Bicicletas,Ciclismo,Van Rysel MTB 91,220.15,292.24,180,7.2,51
P00032,Bicicletas,Ciclismo,Van Rysel E-Bike 17,1472.42,1900.32,90,6.2,40
P00033,Biciletas,Ciclismo,Rockrider City 18,331.65,401.57,180,3.7,52
P00034,Bicicletas,Ciclismo,Btwin Trail 22,669.87,831.89,30,3.8,12
P00035,Bicicletas,Ciclismo,Rockrider Road 78,712.8,798.17,90,2.6,25
P00036,Bicicletas,Ciclismo,Btwin Trail 24,662.28,831.64,120,7.3,57
P00037,Bicicletas,Ciclismo,Rockrider City 89,799.23,917.92,180,5.2,51
P00038,Bicicletas,Ciclismo,Elops City 63,1235.93,1495.25,30,5.9,20
P00039,Biciletas,Ciclismo,Van Rysel Gravel 83,423.25,532.63,180,4.9,12
P00040,Esquí,Esquí Alpino,Wedze Boost 46,562.86,605.27,90,1.1,56
P00041,Esquí,Esquí Alpino,Wedze Freeride 57,679.44,876.66,90,6.3,59
P00042,Esquí,Esquí Alpino,Wedze Piste 87,673.01,757.82,120,0.8,37
P00043,Esquí,Esquí Alpino,Wedze Boost 13,508.08,559.59,90,4.6,31
P00044,Esquí,Esquí Alpino,Wedze Freeride 31,461.32,590.11,180,3.9,48
P00045,Esquí,Esquí Alpino,Wedze AllMountain 50,499.8,664.42,30,0.9,44
